soc_code,occupation_title,aioe_title,description,aei_score,risk_band
11-1011,Chief Executives,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",0.9106677462373387,Red
11-1021,General and Operations Managers,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",0.7545275597921347,Red
11-2011,Advertising and Promotions Managers,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",0.8922901637055671,Red
11-2021,Marketing Managers,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",0.9024495040765679,Red
11-2022,Sales Managers,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",0.9080637357545067,Red
11-3021,Computer and Information Systems Managers,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",0.7914655531847955,Red
11-3031,Financial Managers,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",0.9382380031996942,Red
11-3051,Industrial Production Managers,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",0.6160782844618361,Yellow
11-3061,Purchasing Managers,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",0.9458038358947267,Red
11-3071,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",0.8532859319660818,Red
11-3111,Compensation and Benefits Managers,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",0.9269622045315539,Red
11-3121,Human Resources Managers,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",0.9164263768128151,Red
11-3131,Training and Development Managers,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",0.8873147756052879,Red
