soc_code,task_id,task_description,task_importance,importance_norm,automation_score,automation_level
11-1011,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",4.52,1.0,1.0,High
11-1011,15382,Monitor and evaluate effectiveness of sustainability programs.,4.38,0.8992805755395685,0.8992805755395685,High
11-1011,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",4.37,0.8920863309352521,0.892086330935252,High
11-1011,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",4.33,0.8633093525179859,0.863309352517986,High
11-1011,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",4.32,0.8561151079136695,0.8561151079136695,High
11-1011,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",4.3,0.8417266187050361,0.8417266187050362,High
11-1011,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",4.24,0.798561151079137,0.7985611510791369,High
11-1011,15372,Supervise employees or volunteers working on sustainability projects.,4.22,0.7841726618705037,0.7841726618705035,High
11-1011,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",4.17,0.7482014388489211,0.7482014388489211,High
11-1011,8836,Implement corrective action plans to solve organizational or departmental problems.,4.14,0.7266187050359713,0.7266187050359711,High
11-1011,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",4.13,0.7194244604316549,0.7194244604316549,High
11-1011,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",4.13,0.7194244604316549,0.7194244604316549,High
11-1011,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",4.13,0.7194244604316549,0.7194244604316549,High
11-1011,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,4.09,0.6906474820143886,0.6906474820143887,High
11-1011,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",4.09,0.6906474820143886,0.6906474820143887,High
11-1011,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,4.07,0.6762589928057559,0.6762589928057557,High
11-1011,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",4.06,0.6690647482014388,0.6690647482014386,High
11-1011,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",4.04,0.654676258992806,0.6546762589928061,Moderate
11-1011,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,3.98,0.6115107913669067,0.6115107913669067,Moderate
11-1011,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",3.94,0.5827338129496404,0.5827338129496406,Moderate
11-1011,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",3.93,0.575539568345324,0.5755395683453243,Moderate
11-1011,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",3.92,0.5683453237410073,0.5683453237410073,Moderate
11-1011,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,3.88,0.5395683453237411,0.5395683453237411,Moderate
11-1011,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",3.85,0.5179856115107916,0.5179856115107917,Moderate
11-1011,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",3.8,0.4820143884892087,0.4820143884892088,Moderate
11-1011,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",3.79,0.4748201438848923,0.4748201438848923,Moderate
11-1011,15375,Formulate or implement sustainability campaign or marketing strategies.,3.74,0.4388489208633097,0.43884892086330984,Moderate
11-1011,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",3.74,0.4388489208633097,0.43884892086330984,Moderate
11-1011,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,3.65,0.37410071942446055,0.37410071942446055,Moderate
11-1011,8849,Attend and participate in meetings of municipal councils or council committees.,3.59,0.3309352517985612,0.33093525179856137,Moderate
11-1011,8850,Organize or approve promotional campaigns.,3.55,0.302158273381295,0.30215827338129475,Low
11-1011,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",3.52,0.28057553956834547,0.2805755395683453,Low
11-1011,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,3.52,0.28057553956834547,0.2805755395683453,Low
11-1011,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",3.48,0.25179856115107924,0.25179856115107935,Low
11-1011,15373,Write and distribute financial or environmental impact reports.,3.33,0.1438848920863311,0.14388489208633112,Low
11-1011,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",3.33,0.1438848920863311,0.14388489208633112,Low
11-1011,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",3.19,0.04316546762589933,0.04316546762589916,Low
11-1011,15369,Conduct risk assessments related to sustainability and the environment.,3.13,0.0,0.0,Low
