soc_code,raw_aei_score,mean_importance,std_importance,high_importance_count,mean_level,weighted_exposure_index,aei_score,risk_band,aioe_title,aioe_target,occupation_title,description
11-1011,0.64606759886902,0.3261057692307692,0.3002160709254545,52,0.3325480769230769,0.64606759886902,0.9106677462373388,Red,Chief Executives,1.334246,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
11-1021,0.6145805025861771,0.3179326923076923,0.2556300948261855,11,0.3088461538461538,0.6145805025861771,0.7545275597921347,Red,General and Operations Managers,0.5748773,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors."
11-2011,0.6423615913138999,0.3108173076923077,0.2951506433053971,12,0.3060576923076923,0.6423615913138999,0.8922901637055671,Red,Advertising and Promotions Managers,1.294387,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11-2021,0.6444103151928363,0.3058653846153846,0.289754326557297,12,0.3093269230769231,0.6444103151928363,0.902449504076568,Red,Marketing Managers,1.315032,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."
11-2022,0.6455424763450807,0.2987980769230769,0.2842794858491563,11,0.2936538461538461,0.6455424763450807,0.9080637357545068,Red,Sales Managers,1.26628,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."
11-3021,0.6220293867006962,0.3298557692307692,0.2716576806502246,10,0.3257051282051282,0.6220293867006962,0.7914655531847955,Red,Computer and Information Systems Managers,1.059853,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."
11-3031,0.6516273932773676,0.3080929487179487,0.3000662550204422,120,0.3080235042735043,0.6516273932773676,0.9382380031996942,Red,Financial Managers,1.446232,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."
11-3051,0.5866609402885824,0.3955048076923076,0.227260525791363,396,0.404642094017094,0.5866609402885824,0.6160782844618361,Yellow,Industrial Production Managers,0.5086878,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11-3061,0.6531531126194025,0.2980288461538461,0.2913160370891194,12,0.2964423076923076,0.6531531126194025,0.9458038358947268,Red,Purchasing Managers,1.423426,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers."
11-3071,0.6344960313438504,0.3280288461538462,0.2731821058048925,48,0.3124038461538462,0.6344960313438504,0.8532859319660824,Red,"Transportation, Storage, and Distribution Managers",0.8907923,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers."
11-3111,0.6493535253743452,0.2630288461538461,0.2769075270976728,9,0.2531089743589744,0.6493535253743452,0.926962204531554,Red,Compensation and Benefits Managers,1.298235,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization."
11-3121,0.6472288793792811,0.3226442307692307,0.3162965122974856,14,0.3027564102564102,0.6472288793792811,0.9164263768128152,Red,Human Resources Managers,1.320417,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization."
11-3131,0.6413582588104321,0.3083653846153846,0.2888647847632518,14,0.3085897435897436,0.6413582588104321,0.8873147756052879,Red,Training and Development Managers,1.284423,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization."
11-9013,0.550575009900858,0.4573557692307692,0.1684323724338952,11,0.4739423076923076,0.550575009900858,0.4371331112335845,Yellow,"Farmers, Ranchers, and Other Agricultural Managers",-0.1443684,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."
11-9021,0.5825441720135324,0.4314423076923077,0.2340863267494296,16,0.4169551282051281,0.5825441720135324,0.5956637959283771,Yellow,Construction Managers,1.029139,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."
11-9031,0.5977819054335769,0.3469230769230769,0.2610201589505727,11,0.3337179487179487,0.5977819054335769,0.671225623409576,Red,"Education Administrators, Preschool and Child Care Center/Program",0.838007,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care."
11-9032,0.6296111521384932,0.3701923076923077,0.3307955525497992,14,0.3393589743589743,0.6296111521384932,0.8290624868114278,Red,"Education Administrators, Elementary and Secondary School",1.048811,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools."
11-9033,0.6567682418342224,0.3093749999999999,0.3138337713335067,14,0.2996474358974359,0.6567682418342224,0.9637307652169796,Red,"Education Administrators, Postsecondary",1.461149,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges."
11-9041,0.6076669606999565,0.3682451923076923,0.2734978472320075,56,0.3807532051282051,0.6076669606999565,0.7202442549927837,Red,Engineering Managers,0.8370105,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."
11-9051,0.5605628050471421,0.3583653846153846,0.2093347800792538,6,0.362275641025641,0.5605628050471421,0.4866612157723021,Yellow,Food Service Managers,-0.1213112,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
